Complexity metrics,Wed, 3 Jun 2020 18:27:59 EEST
Method,ev(G),iv(G),v(G)
"com.example.parking.memorydao.RatingDAOMemory.save(Rating)",1,1,1
"com.example.parking.memorydao.UserDAOMemory.delete(User)",1,1,1
"com.example.parking.memorydao.UserDAOMemory.deleteVehicle(String,Vehicle)",1,5,5
"com.example.parking.memorydao.UserDAOMemory.find(String)",3,2,3
"com.example.parking.memorydao.UserDAOMemory.findAll()",1,1,1
"com.example.parking.memorydao.UserDAOMemory.findVehicle(String,String)",5,4,5
"com.example.parking.memorydao.UserDAOMemory.login(String,String)",3,2,3
"com.example.parking.memorydao.UserDAOMemory.save(User)",1,2,2
"com.example.parking.memorydao.UserDAOMemory.update(User)",1,3,3
"com.example.parking.memorydao.UserDAOMemory.updateVehicle(String,Vehicle)",5,5,5
"com.example.parking.ui.findParking.FindParking.getExpectedArrivalDateTime()",1,1,1
"com.example.parking.ui.findParking.FindParking.getUserName()",1,2,2
"com.example.parking.ui.findParking.FindParking.getZip()",1,1,1
"com.example.parking.ui.findParking.FindParking.makeToast(String)",1,1,1
"com.example.parking.ui.findParking.FindParking.onActivityResult(int,int,Intent)",1,2,2
"com.example.parking.ui.findParking.FindParking.onBackPressed()",1,1,1
"com.example.parking.ui.findParking.FindParking.onCreate(Bundle)",2,2,2
"com.example.parking.ui.findParking.FindParking.onResume()",1,3,3
"com.example.parking.ui.findParking.FindParking.setErrorToZip(String)",1,1,1
"com.example.parking.ui.findParking.FindParking.setParkingOnClickListener(Button,ParkingSpace)",1,1,1
"com.example.parking.ui.findParking.FindParking.showParkingSpace(ArrayList<ParkingSpace>)",1,2,2
"com.example.parking.ui.findParking.FindParkingPresenter.FindParkingPresenter(FindParkingView,ParkingSpaceDAO)",1,1,1
"com.example.parking.ui.findParking.FindParkingPresenter.find()",1,2,2
"com.example.parking.ui.findParking.FindParkingPresenter.validateZip()",4,4,4
"com.example.parking.ui.findParkingTest.FindParkingPresenterTest.expectedArrivalTimeValidation()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingPresenterTest.findParkingSpace()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingPresenterTest.setup()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingPresenterTest.validateZip()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.FindParkingViewStub()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.getExpectedArrivalDateTime()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.getTimeRange()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.getToast()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.getUserName()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.getZip()",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.makeToast(String)",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.setErrorToZip(String)",1,1,1
"com.example.parking.ui.findParkingTest.FindParkingViewStub.showParkingSpace(ArrayList<ParkingSpace>)",1,2,2
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.setUp()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.testFalseRequestIntent()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.testFalseSpaceIntent()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.testNotificationIntent()",1,2,2
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.testProfileIntent()",1,2,2
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.testRequestIntent()",1,2,2
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterTest.testSpaceIntent()",1,2,2
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.HomeScreenPresenterViewStub()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.getNotificationClicks()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.getProfileClicks()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.getRequestClicks()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.getSpaceClicks()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.getToast()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.getUserName()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.makeToast(String)",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.notificationIntent()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.profileIntent()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.requestIntent()",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.setUsername(String)",1,1,1
"com.example.parking.ui.homeScreenTest.HomeScreenPresenterViewStub.spaceIntent()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenActivity.getUserName()",1,2,2
"com.example.parking.ui.homescreen.HomeScreenActivity.makeToast(String)",1,1,1
"com.example.parking.ui.homescreen.HomeScreenActivity.notificationIntent()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenActivity.onActivityResult(int,int,Intent)",1,3,4
"com.example.parking.ui.homescreen.HomeScreenActivity.onCreate(Bundle)",1,1,1
"com.example.parking.ui.homescreen.HomeScreenActivity.profileIntent()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenActivity.requestIntent()",1,1,1
"com.example.parking.ui.homescreen.HomeScreenActivity.spaceIntent()",1,1,1
